,acc_test_teacher,acc_test_student,acc_test_distilled,acc_test_distilled_ds,acc_train_teacher,acc_train_student,acc_train_distilled,acc_train_distilled_ds,time_train_teacher,time_train_student,time_train_distilled,time_train_distilled_ds,time_test_teacher,time_test_student,time_test_distilled,time_test_distilled_ds
0,87.452,87.544,87.452,87.452,91.22,89.588,91.22,91.22,90.35881543159485,16.83665943145752,90.35881543159485,90.35881543159485,19.20663571357727,4.485754728317261,19.20663571357727,19.20663571357727
1,88.53999999999999,87.22,88.53999999999999,88.53999999999999,93.66799999999999,90.824,93.66799999999999,93.66799999999999,74.26385235786438,13.343642711639404,74.26385235786438,74.26385235786438,21.147687435150146,4.708256483078003,21.147687435150146,21.147687435150146
2,88.62,88.416,88.62,88.62,95.0,92.704,95.0,95.0,69.04618239402771,12.346412420272827,69.04618239402771,69.04618239402771,19.691805124282837,4.815415620803833,19.691805124282837,19.691805124282837
3,89.068,88.75999999999999,89.068,89.068,96.532,94.396,96.532,96.532,63.81873178482056,11.700321912765503,63.81873178482056,63.81873178482056,21.763010263442993,4.766276836395264,21.763010263442993,21.763010263442993
4,88.8,88.55199999999999,88.8,88.8,96.904,94.41199999999999,96.904,96.904,59.682738065719604,11.12130331993103,59.682738065719604,59.682738065719604,19.892627000808716,4.816348075866699,19.892627000808716,19.892627000808716
5,88.56,87.132,88.56,88.56,96.904,93.56400000000001,96.904,96.904,56.82672667503357,10.818296194076538,56.82672667503357,56.82672667503357,21.412145853042603,4.832365989685059,21.412145853042603,21.412145853042603
6,89.108,87.82,89.108,89.108,98.416,94.072,98.416,98.416,53.9701988697052,10.404465436935425,53.9701988697052,53.9701988697052,20.361610412597656,4.852632284164429,20.361610412597656,20.361610412597656
7,88.944,88.224,88.944,88.944,98.61999999999999,95.5,98.61999999999999,98.61999999999999,51.82231855392456,10.100963830947876,51.82231855392456,51.82231855392456,22.46285653114319,4.845742464065552,22.46285653114319,22.46285653114319
8,89.348,87.64800000000001,89.348,89.348,99.28399999999999,95.66799999999999,99.28399999999999,99.28399999999999,50.740670919418335,9.985501527786255,50.740670919418335,50.740670919418335,22.897517204284668,4.8149354457855225,22.897517204284668,22.897517204284668
9,89.248,88.98,89.248,89.248,99.564,96.792,99.564,99.564,49.939507484436035,9.52043342590332,49.939507484436035,49.939507484436035,21.906697273254395,4.888184070587158,21.906697273254395,21.906697273254395
10,88.996,88.484,88.996,88.996,99.592,96.71600000000001,99.592,99.592,46.37166929244995,9.373645544052124,46.37166929244995,46.37166929244995,20.848387002944946,4.861468315124512,20.848387002944946,20.848387002944946
11,87.652,88.69200000000001,87.652,87.652,98.2,97.164,98.2,98.2,45.16527986526489,9.2570960521698,45.16527986526489,45.16527986526489,21.030741691589355,4.896923780441284,21.030741691589355,21.030741691589355
12,89.12400000000001,88.8,89.12400000000001,89.12400000000001,99.79599999999999,97.36399999999999,99.79599999999999,99.79599999999999,44.01613736152649,9.045751810073853,44.01613736152649,44.01613736152649,21.660680055618286,4.84268045425415,21.660680055618286,21.660680055618286
13,89.316,88.62,89.316,89.316,99.848,97.628,99.848,99.848,42.474108934402466,8.858776330947876,42.474108934402466,42.474108934402466,21.792547941207886,4.87498664855957,21.792547941207886,21.792547941207886
14,89.11200000000001,88.78,89.11200000000001,89.11200000000001,99.892,97.752,99.892,99.892,41.192302942276,8.661982536315918,41.192302942276,41.192302942276,22.263753414154053,4.884595632553101,22.263753414154053,22.263753414154053
