,acc_test_teacher,acc_test_student,acc_test_distilled,acc_train_teacher,acc_train_student,acc_train_distilled,time_train_teacher,time_train_student,time_train_distilled,time_test_teacher,time_test_student,time_test_distilled
0,69.64,70.42,69.64,84.14,83.99833333333333,84.14,2.818081855773926,0.5545151233673096,2.818081855773926,0.9291324615478516,0.10715985298156738,0.9291324615478516
1,75.22,71.44,75.22,88.61333333333333,85.12833333333333,88.61333333333333,2.369799852371216,0.42022180557250977,2.369799852371216,0.9327847957611084,0.10450458526611328,0.9327847957611084
2,73.55000000000001,73.77,73.55000000000001,87.69833333333334,86.97500000000001,87.69833333333334,2.2809579372406006,0.40720415115356445,2.2809579372406006,0.9458706378936768,0.10960650444030762,0.9458706378936768
3,74.83999999999999,74.28,74.83999999999999,89.075,87.795,89.075,2.182921886444092,0.4073002338409424,2.182921886444092,0.940807580947876,0.10399532318115234,0.940807580947876
4,79.14,75.81,79.14,91.34666666666666,88.30833333333334,91.34666666666666,2.11690616607666,0.3912696838378906,2.11690616607666,0.9408531188964844,0.10494494438171387,0.9408531188964844
5,80.02,75.5,80.02,92.27333333333333,88.52833333333334,92.27333333333333,2.08506178855896,0.3973197937011719,2.08506178855896,0.935554027557373,0.09678435325622559,0.935554027557373
6,79.23,75.36,79.23,91.535,89.23333333333333,91.535,2.0601844787597656,0.3895382881164551,2.0601844787597656,0.9603462219238281,0.1030416488647461,0.9603462219238281
7,80.36,77.48,80.36,92.58333333333333,90.16,92.58333333333333,2.008866786956787,0.3743579387664795,2.008866786956787,0.9558231830596924,0.10845446586608887,0.9558231830596924
8,79.71000000000001,77.03,79.71000000000001,92.68833333333333,89.89,92.68833333333333,1.9998383522033691,0.3759124279022217,1.9998383522033691,0.9494729042053223,0.11024641990661621,0.9494729042053223
9,81.73,76.9,81.73,93.19166666666666,89.875,93.19166666666666,1.9746897220611572,0.3736145496368408,1.9746897220611572,0.9479126930236816,0.09790420532226562,0.9479126930236816
10,82.12,77.44,82.12,93.845,90.28666666666668,93.845,1.9706873893737793,0.3726170063018799,1.9706873893737793,0.9486715793609619,0.10213685035705566,0.9486715793609619
11,81.36,76.81,81.36,93.39166666666667,89.48333333333333,93.39166666666667,1.916987657546997,0.36621642112731934,1.916987657546997,0.9470794200897217,0.10886907577514648,0.9470794200897217
12,80.69,77.81,80.69,93.22833333333334,90.36666666666666,93.22833333333334,1.919203281402588,0.3609323501586914,1.919203281402588,0.9479851722717285,0.1066429615020752,0.9479851722717285
13,81.96,78.07,81.96,93.935,90.44833333333332,93.935,1.9081099033355713,0.36544275283813477,1.9081099033355713,0.9502561092376709,0.10904574394226074,0.9502561092376709
14,82.76,79.10000000000001,82.76,95.06166666666667,90.86333333333333,95.06166666666667,1.9408526420593262,0.3698287010192871,1.9408526420593262,0.9493889808654785,0.10265684127807617,0.9493889808654785
15,82.43,77.0,82.43,94.61,90.10000000000001,94.61,1.86051607131958,0.3672821521759033,1.86051607131958,0.9585127830505371,0.10184073448181152,0.9585127830505371
16,82.88,79.31,82.88,95.28999999999999,90.85666666666667,95.28999999999999,1.8649957180023193,0.3616676330566406,1.8649957180023193,0.9513049125671387,0.09835243225097656,0.9513049125671387
17,82.84,76.62,82.84,95.24000000000001,90.43333333333334,95.24000000000001,1.8647382259368896,0.36446332931518555,1.8647382259368896,0.9471983909606934,0.10334181785583496,0.9471983909606934
18,83.37,78.62,83.37,95.46833333333333,90.515,95.46833333333333,1.8639163970947266,0.3652153015136719,1.8639163970947266,0.9559717178344727,0.1057734489440918,0.9559717178344727
19,81.66,78.94,81.66,94.29166666666666,91.04166666666667,94.29166666666666,1.8574142456054688,0.35036206245422363,1.8574142456054688,0.9618933200836182,0.10159969329833984,0.9618933200836182
20,83.05,77.98,83.05,95.455,90.71000000000001,95.455,1.8438279628753662,0.36196112632751465,1.8438279628753662,0.9612228870391846,0.1103355884552002,0.9612228870391846
21,82.87,77.89,82.87,95.43,90.94,95.43,1.8357841968536377,0.35210180282592773,1.8357841968536377,0.9499766826629639,0.1025693416595459,0.9499766826629639
22,83.2,79.23,83.2,95.52833333333334,91.425,95.52833333333334,1.8162245750427246,0.3584625720977783,1.8162245750427246,0.9657952785491943,0.1009974479675293,0.9657952785491943
23,82.59,80.58999999999999,82.59,95.625,91.89500000000001,95.625,1.8276207447052002,0.35086750984191895,1.8276207447052002,0.9423856735229492,0.10535836219787598,0.9423856735229492
24,83.86,79.79,83.86,96.53,91.86666666666666,96.53,1.819322109222412,0.35022687911987305,1.819322109222412,0.9498693943023682,0.11426901817321777,0.9498693943023682
25,83.91,79.58,83.91,96.53666666666668,91.58333333333334,96.53666666666668,1.8118460178375244,0.3519279956817627,1.8118460178375244,0.9508700370788574,0.1000511646270752,0.9508700370788574
26,83.78,76.77000000000001,83.78,95.79833333333333,90.38833333333334,95.79833333333333,1.8128833770751953,0.356032133102417,1.8128833770751953,0.964036226272583,0.10885405540466309,0.964036226272583
27,84.45,78.2,84.45,96.37666666666667,91.15333333333334,96.37666666666667,1.7987821102142334,0.3482077121734619,1.7987821102142334,0.9515423774719238,0.1112375259399414,0.9515423774719238
28,84.66,79.02,84.66,96.77333333333334,91.78833333333334,96.77333333333334,1.7949247360229492,0.346876859664917,1.7949247360229492,0.9499309062957764,0.10030746459960938,0.9499309062957764
29,83.91999999999999,79.3,83.91999999999999,95.75666666666666,91.74666666666667,95.75666666666666,1.782177448272705,0.34442782402038574,1.782177448272705,0.9555485248565674,0.10468482971191406,0.9555485248565674
30,82.17999999999999,80.58999999999999,82.17999999999999,95.58,91.77,95.58,1.7910926342010498,0.35753488540649414,1.7910926342010498,0.9582252502441406,0.10736083984375,0.9582252502441406
31,84.2,79.99000000000001,84.2,96.30333333333333,91.46,96.30333333333333,1.7733380794525146,0.34612512588500977,1.7733380794525146,0.9571306705474854,0.09620189666748047,0.9571306705474854
32,83.89,80.33,83.89,96.39166666666667,91.96166666666666,96.39166666666667,1.795426607131958,0.3449571132659912,1.795426607131958,0.9717221260070801,0.11095070838928223,0.9717221260070801
33,84.43,79.93,84.43,96.60499999999999,92.55666666666667,96.60499999999999,1.788034200668335,0.351576566696167,1.788034200668335,0.9605402946472168,0.10445713996887207,0.9605402946472168
34,83.89,79.78,83.89,96.25333333333333,91.70166666666667,96.25333333333333,1.7657713890075684,0.3537769317626953,1.7657713890075684,0.9539003372192383,0.10178351402282715,0.9539003372192383
35,83.65,80.65,83.65,96.26666666666667,91.97666666666666,96.26666666666667,1.7811565399169922,0.35780858993530273,1.7811565399169922,0.9661898612976074,0.09611964225769043,0.9661898612976074
36,83.61,79.0,83.61,96.34,91.74,96.34,1.7851135730743408,0.3487534523010254,1.7851135730743408,0.9477419853210449,0.10626578330993652,0.9477419853210449
37,84.3,79.88,84.3,96.575,92.12833333333333,96.575,1.761167049407959,0.35239219665527344,1.761167049407959,0.9493551254272461,0.10933566093444824,0.9493551254272461
38,85.04,80.38,85.04,97.21499999999999,92.455,97.21499999999999,1.7623686790466309,0.3453660011291504,1.7623686790466309,0.9513778686523438,0.1045386791229248,0.9513778686523438
39,84.76,79.92,84.76,97.07333333333334,92.23833333333333,97.07333333333334,1.756688117980957,0.35017919540405273,1.756688117980957,0.9526500701904297,0.10506415367126465,0.9526500701904297
40,83.78,79.44,83.78,96.38333333333333,91.70166666666667,96.38333333333333,1.7698724269866943,0.33879899978637695,1.7698724269866943,0.9545526504516602,0.10198092460632324,0.9545526504516602
41,85.2,79.86999999999999,85.2,97.38666666666667,92.18666666666667,97.38666666666667,1.7630484104156494,0.3428213596343994,1.7630484104156494,0.9650101661682129,0.1037900447845459,0.9650101661682129
42,85.36,80.07,85.36,97.22166666666666,92.75,97.22166666666666,1.742079734802246,0.35341858863830566,1.742079734802246,0.9569661617279053,0.10593652725219727,0.9569661617279053
43,84.33,80.55,84.33,96.92,92.37833333333333,96.92,1.7468736171722412,0.34324216842651367,1.7468736171722412,0.9502511024475098,0.10485672950744629,0.9502511024475098
44,84.50999999999999,79.88,84.50999999999999,96.78333333333333,91.99166666666667,96.78333333333333,1.7987606525421143,0.34262943267822266,1.7987606525421143,0.9594743251800537,0.09677886962890625,0.9594743251800537
45,84.09,80.0,84.09,96.56833333333333,92.02333333333334,96.56833333333333,1.748988389968872,0.3506741523742676,1.748988389968872,0.9501485824584961,0.09863901138305664,0.9501485824584961
46,85.1,78.49000000000001,85.1,97.18666666666667,91.89666666666668,97.18666666666667,1.724785327911377,0.34433865547180176,1.724785327911377,0.950486421585083,0.10432028770446777,0.950486421585083
47,84.77,79.7,84.77,97.43333333333334,92.20333333333333,97.43333333333334,1.7403955459594727,0.35207605361938477,1.7403955459594727,0.9497261047363281,0.1003727912902832,0.9497261047363281
48,84.92,79.53,84.92,97.72333333333333,92.265,97.72333333333333,1.7355833053588867,0.35827136039733887,1.7355833053588867,0.9595274925231934,0.10612630844116211,0.9595274925231934
49,84.68,79.96,84.68,97.35000000000001,92.30000000000001,97.35000000000001,1.723290205001831,0.3527193069458008,1.723290205001831,0.9524056911468506,0.10243749618530273,0.9524056911468506
