,acc_test_teacher,acc_test_student,acc_test_distilled,acc_train_teacher,acc_train_student,acc_train_distilled,time_train_teacher,time_train_student,time_train_distilled,time_test_teacher,time_test_student,time_test_distilled
0,88.428,87.372,88.428,92.404,90.27199999999999,92.404,99.93599343299866,19.78508973121643,99.93599343299866,23.20977783203125,4.883261203765869,23.20977783203125
1,88.812,88.828,88.812,94.48,92.648,94.48,83.82045531272888,15.437690258026123,83.82045531272888,25.202462673187256,4.978646278381348,25.202462673187256
2,89.35600000000001,89.012,89.35600000000001,96.37599999999999,93.62,96.37599999999999,76.81131505966187,13.933297395706177,76.81131505966187,25.236393690109253,5.082005262374878,25.236393690109253
3,88.924,87.80799999999999,88.924,97.392,93.092,97.392,72.91409063339233,13.20708417892456,72.91409063339233,25.03931736946106,5.072108030319214,25.03931736946106
4,89.228,88.7,89.228,98.24000000000001,94.728,98.24000000000001,68.96046805381775,12.308584690093994,68.96046805381775,25.580256462097168,5.101123809814453,25.580256462097168
5,89.35600000000001,88.46000000000001,89.35600000000001,98.64,95.088,98.64,65.00902485847473,11.987879991531372,65.00902485847473,25.767040252685547,5.031161069869995,25.767040252685547
6,89.11200000000001,88.952,89.11200000000001,98.92800000000001,95.93199999999999,98.92800000000001,61.65995502471924,11.611994981765747,61.65995502471924,26.072895050048828,5.084270238876343,26.072895050048828
7,89.16,88.972,89.16,99.42800000000001,96.548,99.42800000000001,58.712599754333496,11.031814813613892,58.712599754333496,27.53192663192749,5.0920960903167725,27.53192663192749
8,89.324,88.18,89.324,99.7,95.428,99.7,56.10045337677002,10.863609552383423,56.10045337677002,27.203486442565918,5.038695335388184,27.203486442565918
9,89.428,88.996,89.428,99.748,97.148,99.748,54.31811285018921,10.487651348114014,54.31811285018921,27.227235317230225,5.117644548416138,27.227235317230225
10,89.34,88.64800000000001,89.34,99.832,96.936,99.832,52.33582282066345,10.289488792419434,52.33582282066345,26.442110300064087,5.106892347335815,26.442110300064087
11,89.436,88.928,89.436,99.90400000000001,97.392,99.90400000000001,51.033167123794556,9.775033473968506,51.033167123794556,26.276073455810547,5.117866039276123,26.276073455810547
12,89.452,88.86,89.452,99.924,97.6,99.924,50.00661659240723,9.706762313842773,50.00661659240723,27.085229635238647,5.119237899780273,27.085229635238647
13,89.12400000000001,89.008,89.12400000000001,99.92,98.26,99.92,48.618232011795044,9.326226234436035,48.618232011795044,27.338262796401978,5.087769508361816,27.338262796401978
14,89.22,88.78,89.22,99.932,98.288,99.932,47.82489633560181,9.548173189163208,47.82489633560181,26.350999355316162,5.106797933578491,26.350999355316162
15,89.428,88.832,89.428,99.952,98.416,99.952,46.80625796318054,9.094231605529785,46.80625796318054,26.64482879638672,5.108296632766724,26.64482879638672
16,88.612,88.196,88.612,99.872,97.80799999999999,99.872,46.0029981136322,9.061576843261719,46.0029981136322,27.368969678878784,5.102059602737427,27.368969678878784
