,acc_train_teacher,acc_train_student,acc_train_distilled,time_train_teacher,time_train_student,time_train_distilled,acc_test_teacher,acc_test_student,acc_test_distilled,time_test_teacher,time_test_student,time_test_distilled,total_time
1,98.1404907407407,92.50354629629626,94.71067592592598,1.6655353314346737,0.3425508631600274,0.35395777722199756,85.48963888888889,80.18488888888884,82.54650000000007,0.96566873855061,0.10254281891716852,0.10425586104393006,3544.7295722961426
2,98.07310185185192,92.49452314814815,94.61309722222211,1.8123310963312784,0.3423356963528527,0.3554757883151372,85.26469444444449,80.23025000000001,82.40652777777778,0.9951614730887943,0.10131300224198235,0.10363809068997701,3665.8798480033875
3,98.04414814814808,92.41404629629636,94.63031481481481,1.6680957118670146,0.34291664759318036,0.3546297450860341,85.35316666666661,79.97358333333332,82.45555555555555,0.9651874449517992,0.10191919008890787,0.10315820674101511,3544.191802740097
4,98.07555555555551,92.46297685185182,94.64522222222222,1.6488983419206407,0.341841004954444,0.3552815486987432,85.37411111111108,80.09063888888892,82.5004166666667,0.9555238849586911,0.10097722543610467,0.10292764008045197,3512.18714094162
5,98.11407407407407,92.45840740740738,94.60423148148142,1.696328988340166,0.34245520763927034,0.35514992475509644,85.26108333333332,80.10541666666657,82.44777777777776,0.9534225616190168,0.10098277860217625,0.1028025339047114,3523.3745765686035
6,98.10696759259255,92.44195833333332,94.62508796296297,1.6618623011642033,0.3428818603356679,0.3545984387397766,85.27150000000002,80.2100277777778,82.43249999999998,0.9606354011429681,0.10186685721079508,0.10280199746290843,3528.511978626251
7,98.13343055555556,92.45222685185192,94.7076203703704,1.695782216389974,0.3422170321146647,0.35567383269468944,85.57405555555556,80.02502777777778,82.55902777777776,0.9725930167569055,0.10189928015073141,0.10231362183888754,3572.2479598522186
8,98.05020833333329,92.47065740740737,94.67080555555555,1.6917705906762017,0.34355698890156217,0.35520991186300915,85.34461111111113,80.24858333333333,82.57916666666671,0.970402541425493,0.10185626745224,0.10339349607626597,3566.0220375061035
9,98.1225509259259,92.41213425925929,94.7013333333333,1.6750844034883712,0.3434595306714376,0.35571024417877195,85.33813888888886,80.03486111111108,82.54274999999997,0.9681795928213331,0.10079581803745694,0.10384878118832906,3553.269975423813
10,98.1129768518518,92.50057870370367,94.64918055555557,1.679841813776228,0.3432751026418474,0.3567814270655314,85.39686111111115,79.98099999999997,82.37625000000001,0.9676388541857401,0.10072200960583157,0.1031532863775889,3552.8949451446533
11,98.10393518518524,92.47568055555548,94.71725462962958,1.6523296309842004,0.3383347498046027,0.3505235145489375,85.40508333333325,80.23494444444442,82.58027777777781,0.9581813494364421,0.0982486367225647,0.10041628976662954,3517.436488866806
12,98.05592592592595,92.48439351851846,94.58675925925925,1.6439654601944818,0.3394970569345686,0.3521665255228678,85.38999999999999,80.14908333333335,82.42858333333328,0.957248928811815,0.09826260010401408,0.0992007464170456,3510.498898744583
13,98.05824537037036,92.49940277777773,94.62823611111115,1.6405016852749719,0.33743399182955425,0.35189840098222097,85.41072222222223,80.08816666666667,82.45136111111107,0.9604292339748807,0.09782572521103752,0.09951952695846558,3518.647645711899
14,98.03860185185188,92.47205555555553,94.57499074074076,1.64660927189721,0.33963183959325155,0.3527557869752248,85.4493888888889,80.09411111111106,82.47880555555552,0.9651664316654205,0.09775850044356452,0.0992752492427826,3533.369542360306
15,98.06327314814816,92.48713425925932,94.6495231481482,1.6494661735163794,0.339712694618437,0.35106230278809863,85.29047222222216,80.14625000000001,82.43852777777775,0.9665782968203227,0.09736650718583001,0.09987573921680451,3532.879125356674
16,98.11247222222222,92.4300740740741,94.60929629629625,1.650078758266237,0.3380364292197757,0.35229641099770864,85.42041666666664,80.0171111111111,82.42038888888887,0.9654789275593227,0.09773138297928705,0.10011538565158844,3535.4096541404724
17,98.15131481481478,92.43189351851856,94.68523611111112,1.646937412685818,0.33919584486219617,0.3514655113220215,85.4369722222222,80.07613888888886,82.56005555555558,0.9640548017289904,0.09778776235050625,0.09990314642588298,3530.152055978775
18,98.04155555555558,92.52838425925925,94.62470370370369,1.6549690220091078,0.3387183507283529,0.35309479335943855,85.38408333333338,80.25411111111117,82.47333333333336,0.959901860025194,0.09875878029399449,0.09976906776428222,3524.9504284858704
19,98.13353240740736,92.43060185185186,94.64915277777774,1.6605777190791235,0.34006454017427235,0.3517216295003891,85.68633333333328,80.1163611111111,82.54113888888892,0.9621500465604994,0.09837722977002462,0.09972384572029114,3533.7497684955597
20,98.12139814814819,92.59756018518523,94.66206018518517,1.6650846276018354,0.33894558548927306,0.3519076436758041,85.47961111111117,80.25530555555551,82.60261111111114,0.9612774703237745,0.09790617227554321,0.09941333333651224,3530.0803303718567
21,98.04837962962962,92.49724074074078,94.62742592592596,1.6681349330478243,0.3400129901038276,0.3530312160650889,85.39938888888885,80.18302777777775,82.52344444444446,0.9629141681724125,0.09726564553048876,0.09963011244932811,3536.2841322422028
22,98.11188888888888,92.40722222222225,94.60470370370368,1.668434437778261,0.3408320016331143,0.3549193302790324,85.41216666666664,80.02277777777768,82.31458333333333,0.9600798216130998,0.09805598060290019,0.0982463945945104,3531.2469520568848
23,98.15381018518504,92.44563888888895,94.65881944444449,1.6673517227172852,0.34023690091239084,0.3524545083443324,85.55149999999998,79.99688888888895,82.5115833333334,0.9622063179810841,0.09836575786272685,0.09969170888264973,3535.674161672592
24,98.06735185185191,92.49231481481485,94.67267592592597,1.6713850133948855,0.3395572993490431,0.3526350915431976,85.24408333333336,80.14452777777781,82.39336111111112,0.9621811250845591,0.09845000372992621,0.09994433323542277,3538.554837703705
