,acc_test_teacher,acc_test_baseline,acc_test_student,acc_train_teacher,acc_train_baseline,acc_train_student,time_train_teacher,time_train_baseline,time_train_student,time_test_teacher,time_test_baseline,time_test_student
0,70.41,70.28,70.41,83.56333333333333,84.25166666666667,83.56333333333333,2.7825241088867188,0.5011436939239502,2.7825241088867188,0.9294750690460205,0.09882855415344238,0.9294750690460205
1,72.89,72.74000000000001,72.89,86.41499999999999,85.82333333333332,86.41499999999999,2.3533599376678467,0.4261302947998047,2.3533599376678467,0.9376871585845947,0.09909653663635254,0.9376871585845947
2,71.8,72.44,71.8,85.28666666666666,86.02833333333334,85.28666666666666,2.2217206954956055,0.41495752334594727,2.2217206954956055,0.9422554969787598,0.10222744941711426,0.9422554969787598
3,75.21,76.28,75.21,89.17666666666668,87.99666666666667,89.17666666666668,2.141817808151245,0.4037437438964844,2.141817808151245,0.9538495540618896,0.09524393081665039,0.9538495540618896
4,78.82000000000001,74.18,78.82000000000001,91.43833333333333,87.63,91.43833333333333,2.102175712585449,0.3946712017059326,2.102175712585449,0.9545924663543701,0.10170197486877441,0.9545924663543701
5,77.19,74.71,77.19,90.94,87.97166666666666,90.94,2.03721284866333,0.37860965728759766,2.03721284866333,0.9434490203857422,0.10215926170349121,0.9434490203857422
6,78.57,76.52,78.57,91.58833333333334,88.85833333333333,91.58833333333334,2.013575553894043,0.3859100341796875,2.013575553894043,0.95829176902771,0.09863829612731934,0.95829176902771
7,81.19,76.16000000000001,81.19,92.86166666666666,89.44333333333333,92.86166666666666,1.9922022819519043,0.3805999755859375,1.9922022819519043,0.9609179496765137,0.09825253486633301,0.9609179496765137
8,80.32000000000001,77.56,80.32000000000001,92.93166666666667,89.46499999999999,92.93166666666667,1.9417877197265625,0.38474559783935547,1.9417877197265625,0.9448437690734863,0.10246944427490234,0.9448437690734863
9,81.58999999999999,77.94,81.58999999999999,93.53166666666667,89.95333333333333,93.53166666666667,1.9533042907714844,0.3750138282775879,1.9533042907714844,0.9557452201843262,0.09984183311462402,0.9557452201843262
10,80.66,77.33,80.66,92.49000000000001,89.62,92.49000000000001,1.9306740760803223,0.3743865489959717,1.9306740760803223,0.946098804473877,0.09961891174316406,0.946098804473877
11,80.13,77.89,80.13,92.56166666666667,90.14666666666666,92.56166666666667,1.9021310806274414,0.3679962158203125,1.9021310806274414,0.9510071277618408,0.09417319297790527,0.9510071277618408
12,81.52000000000001,78.06,81.52000000000001,93.89333333333333,90.42666666666666,93.89333333333333,1.8786771297454834,0.389040470123291,1.8786771297454834,0.9525904655456543,0.10082387924194336,0.9525904655456543
13,81.54,78.35,81.54,94.31833333333334,90.55833333333332,94.31833333333334,1.877138614654541,0.3658120632171631,1.877138614654541,0.9575169086456299,0.10174965858459473,0.9575169086456299
14,82.35,77.8,82.35,94.565,90.50166666666667,94.565,1.8883616924285889,0.35625553131103516,1.8883616924285889,0.9633395671844482,0.09897303581237793,0.9633395671844482
15,82.57,78.92,82.57,94.76666666666667,91.185,94.76666666666667,1.8601276874542236,0.35396265983581543,1.8601276874542236,0.9576385021209717,0.09816837310791016,0.9576385021209717
16,81.57,78.10000000000001,81.57,94.35333333333334,91.12,94.35333333333334,1.8428025245666504,0.353287935256958,1.8428025245666504,0.960463285446167,0.09829521179199219,0.960463285446167
17,83.39,78.75999999999999,83.39,95.53166666666667,91.22833333333334,95.53166666666667,1.8331685066223145,0.37815046310424805,1.8331685066223145,0.9514031410217285,0.09466743469238281,0.9514031410217285
18,81.78,79.7,81.78,95.025,91.56166666666667,95.025,1.8225605487823486,0.35642528533935547,1.8225605487823486,0.9486494064331055,0.09592604637145996,0.9486494064331055
19,83.78,78.91,83.78,95.62833333333333,91.08333333333334,95.62833333333333,1.8091239929199219,0.35390138626098633,1.8091239929199219,0.9628021717071533,0.09574484825134277,0.9628021717071533
20,83.17999999999999,78.44,83.17999999999999,95.515,91.30833333333334,95.515,1.820868730545044,0.352522611618042,1.820868730545044,0.9584999084472656,0.09648561477661133,0.9584999084472656
21,81.91000000000001,78.42,81.91000000000001,94.755,91.53999999999999,94.755,1.8079688549041748,0.3523998260498047,1.8079688549041748,0.9638276100158691,0.09685468673706055,0.9638276100158691
22,83.2,78.7,83.2,95.57166666666667,90.63333333333333,95.57166666666667,1.7869701385498047,0.35117053985595703,1.7869701385498047,0.9681205749511719,0.09847855567932129,0.9681205749511719
23,83.03,79.2,83.03,95.48,91.73833333333333,95.48,1.7923502922058105,0.3566622734069824,1.7923502922058105,0.9598464965820312,0.09852123260498047,0.9598464965820312
24,83.6,79.31,83.6,96.23166666666667,91.845,96.23166666666667,1.7835156917572021,0.3465418815612793,1.7835156917572021,0.9664344787597656,0.10072064399719238,0.9664344787597656
25,82.22,79.54,82.22,94.88166666666666,91.19166666666668,94.88166666666666,1.8004703521728516,0.3504948616027832,1.8004703521728516,0.9574465751647949,0.09742927551269531,0.9574465751647949
26,82.69999999999999,79.25999999999999,82.69999999999999,95.49333333333333,91.67999999999999,95.49333333333333,1.7869129180908203,0.34517574310302734,1.7869129180908203,0.9577908515930176,0.09869551658630371,0.9577908515930176
27,83.99,79.19,83.99,96.09,91.635,96.09,1.7604055404663086,0.35131144523620605,1.7604055404663086,0.9660425186157227,0.09821510314941406,0.9660425186157227
28,84.04,79.49000000000001,84.04,96.22500000000001,91.84833333333333,96.22500000000001,1.7814218997955322,0.34856128692626953,1.7814218997955322,0.9668388366699219,0.10215353965759277,0.9668388366699219
29,82.19999999999999,79.83,82.19999999999999,94.895,91.98166666666665,94.895,1.7401597499847412,0.3471963405609131,1.7401597499847412,0.9598078727722168,0.10065174102783203,0.9598078727722168
30,84.07,79.86,84.07,96.60499999999999,92.01,96.60499999999999,1.7774982452392578,0.3455393314361572,1.7774982452392578,0.9669597148895264,0.09805750846862793,0.9669597148895264
31,84.39,79.19,84.39,96.68833333333333,91.535,96.68833333333333,1.7450881004333496,0.34644079208374023,1.7450881004333496,0.954136848449707,0.10201859474182129,0.954136848449707
32,83.54,80.16,83.54,96.34,91.82666666666667,96.34,1.743227243423462,0.34094715118408203,1.743227243423462,0.9609427452087402,0.10046267509460449,0.9609427452087402
33,84.31,80.4,84.31,96.50666666666666,92.04166666666667,96.50666666666666,1.7402653694152832,0.3483865261077881,1.7402653694152832,0.9668521881103516,0.10075640678405762,0.9668521881103516
34,83.1,80.03,83.1,96.21833333333333,91.86999999999999,96.21833333333333,1.745572566986084,0.34723901748657227,1.745572566986084,0.9721946716308594,0.10112762451171875,0.9721946716308594
35,82.56,80.69,82.56,95.60666666666665,92.50166666666667,95.60666666666665,1.7252297401428223,0.34520936012268066,1.7252297401428223,0.9653441905975342,0.09685921669006348,0.9653441905975342
36,83.74000000000001,80.13,83.74000000000001,96.39999999999999,92.49333333333334,96.39999999999999,1.7314090728759766,0.3389897346496582,1.7314090728759766,0.966912031173706,0.09645366668701172,0.966912031173706
37,84.71,80.03,84.71,97.10333333333332,92.55333333333333,97.10333333333332,1.733978509902954,0.3424062728881836,1.733978509902954,0.9597835540771484,0.09468626976013184,0.9597835540771484
38,83.61,79.58,83.61,96.27333333333333,91.84833333333333,96.27333333333333,1.7068562507629395,0.3450126647949219,1.7068562507629395,0.9694526195526123,0.10098648071289062,0.9694526195526123
39,82.96,79.47999999999999,82.96,96.02166666666668,92.03166666666667,96.02166666666668,1.729590892791748,0.3388833999633789,1.729590892791748,0.9624001979827881,0.0995028018951416,0.9624001979827881
40,83.73,80.36999999999999,83.73,96.54666666666667,92.14,96.54666666666667,1.71592116355896,0.34426188468933105,1.71592116355896,0.9689939022064209,0.09428811073303223,0.9689939022064209
41,84.68,79.92,84.68,96.87,92.19166666666668,96.87,1.725985050201416,0.357471227645874,1.725985050201416,0.9686276912689209,0.09478211402893066,0.9686276912689209
42,84.03,80.39,84.03,97.00166666666667,92.12833333333333,97.00166666666667,1.7235088348388672,0.3400554656982422,1.7235088348388672,0.9692354202270508,0.0943758487701416,0.9692354202270508
43,84.8,79.95,84.8,96.99166666666666,92.05833333333334,96.99166666666666,1.7006092071533203,0.34397339820861816,1.7006092071533203,0.9630017280578613,0.09345269203186035,0.9630017280578613
44,84.75,79.14999999999999,84.75,97.405,92.04,97.405,1.706822395324707,0.33483028411865234,1.706822395324707,0.97127366065979,0.09403395652770996,0.97127366065979
45,84.91,80.43,84.91,97.585,92.44833333333334,97.585,1.70918607711792,0.33901524543762207,1.70918607711792,0.97237229347229,0.09712743759155273,0.97237229347229
46,85.04,79.10000000000001,85.04,97.35000000000001,91.825,97.35000000000001,1.7220485210418701,0.339353084564209,1.7220485210418701,0.972686767578125,0.09831762313842773,0.972686767578125
47,83.89,80.22,83.89,97.02499999999999,92.49833333333333,97.02499999999999,1.7062807083129883,0.3434896469116211,1.7062807083129883,0.9620742797851562,0.0976419448852539,0.9620742797851562
48,84.16,79.66,84.16,97.32666666666667,92.20833333333334,97.32666666666667,1.6847593784332275,0.34813857078552246,1.6847593784332275,0.9617619514465332,0.09842801094055176,0.9617619514465332
49,85.41,79.71000000000001,85.41,97.57333333333334,92.35833333333333,97.57333333333334,1.7024435997009277,0.3426351547241211,1.7024435997009277,0.9650335311889648,0.10105204582214355,0.9650335311889648
50,85.1,79.97999999999999,85.1,97.63666666666667,92.465,97.63666666666667,1.689194679260254,0.3412351608276367,1.689194679260254,0.9664440155029297,0.09785676002502441,0.9664440155029297
51,84.95,80.51,84.95,97.50833333333333,92.59833333333334,97.50833333333333,1.6904537677764893,0.33985257148742676,1.6904537677764893,0.9574720859527588,0.09781789779663086,0.9574720859527588
52,85.26,80.08,85.26,97.66333333333334,92.77833333333334,97.66333333333334,1.6820363998413086,0.34502625465393066,1.6820363998413086,0.9749858379364014,0.11162686347961426,0.9749858379364014
53,85.05,80.02,85.05,97.55833333333334,92.23833333333333,97.55833333333334,1.6921584606170654,0.33661746978759766,1.6921584606170654,0.9723057746887207,0.09747576713562012,0.9723057746887207
54,83.97,80.97999999999999,83.97,96.95,92.91333333333334,96.95,1.7030651569366455,0.3334345817565918,1.7030651569366455,0.9643442630767822,0.09412646293640137,0.9643442630767822
55,84.02,81.10000000000001,84.02,97.43166666666667,92.875,97.43166666666667,1.707686185836792,0.3395383358001709,1.707686185836792,0.9662055969238281,0.09764885902404785,0.9662055969238281
56,83.56,80.88,83.56,96.67833333333333,92.73333333333333,96.67833333333333,1.6814908981323242,0.3433096408843994,1.6814908981323242,0.9714393615722656,0.09768557548522949,0.9714393615722656
57,84.7,79.58,84.7,97.57333333333334,92.64666666666666,97.57333333333334,1.6880204677581787,0.3408958911895752,1.6880204677581787,0.9713959693908691,0.09924101829528809,0.9713959693908691
58,85.14,78.74,85.14,97.15333333333334,91.77833333333332,97.15333333333334,1.6845624446868896,0.33681273460388184,1.6845624446868896,0.963428258895874,0.09852170944213867,0.963428258895874
59,84.78,80.42,84.78,97.34666666666666,92.515,97.34666666666666,1.692964792251587,0.3371555805206299,1.692964792251587,0.9772837162017822,0.09903311729431152,0.9772837162017822
60,84.49,80.03,84.49,96.96000000000001,92.36666666666666,96.96000000000001,1.6827576160430908,0.34027719497680664,1.6827576160430908,0.9739058017730713,0.09382295608520508,0.9739058017730713
61,85.72999999999999,79.92,85.72999999999999,97.80333333333333,92.13833333333334,97.80333333333333,1.6665773391723633,0.34377551078796387,1.6665773391723633,0.9743804931640625,0.09584426879882812,0.9743804931640625
62,84.78999999999999,81.04,84.78999999999999,97.26333333333334,92.82000000000001,97.26333333333334,1.6767256259918213,0.3366053104400635,1.6767256259918213,0.9733998775482178,0.0974729061126709,0.9733998775482178
63,85.22999999999999,79.67,85.22999999999999,97.575,92.405,97.575,1.675976037979126,0.3431267738342285,1.675976037979126,0.9713525772094727,0.0968015193939209,0.9713525772094727
64,84.87,79.79,84.87,97.78,92.22666666666667,97.78,1.6826653480529785,0.3389568328857422,1.6826653480529785,0.9717583656311035,0.09618043899536133,0.9717583656311035
65,83.83,80.92,83.83,96.935,92.98333333333333,96.935,1.675748348236084,0.3381028175354004,1.675748348236084,0.9605257511138916,0.09603428840637207,0.9605257511138916
66,85.45,80.28999999999999,85.45,97.97666666666667,92.795,97.97666666666667,1.6709964275360107,0.34850525856018066,1.6709964275360107,0.9675900936126709,0.09763360023498535,0.9675900936126709
67,85.02,80.13,85.02,97.65,92.86166666666666,97.65,1.6758458614349365,0.33341550827026367,1.6758458614349365,0.9691445827484131,0.1002953052520752,0.9691445827484131
68,85.52,80.85,85.52,98.10333333333332,92.49166666666667,98.10333333333332,1.6599500179290771,0.3403966426849365,1.6599500179290771,0.9604928493499756,0.09793639183044434,0.9604928493499756
69,85.27,80.78,85.27,97.795,92.73833333333333,97.795,1.660658597946167,0.33363938331604004,1.660658597946167,0.9644627571105957,0.09467077255249023,0.9644627571105957
70,84.38,81.55,84.38,97.36833333333334,93.20166666666667,97.36833333333334,1.6619224548339844,0.3335707187652588,1.6619224548339844,0.968461275100708,0.09783053398132324,0.968461275100708
71,85.53,80.13,85.53,98.13333333333333,92.795,98.13333333333333,1.6681835651397705,0.34848642349243164,1.6681835651397705,0.9727797508239746,0.09781813621520996,0.9727797508239746
72,85.84,80.5,85.84,98.24666666666667,92.82333333333334,98.24666666666667,1.6639339923858643,0.3389461040496826,1.6639339923858643,0.9668207168579102,0.09804749488830566,0.9668207168579102
73,85.77,80.97999999999999,85.77,98.28666666666666,92.845,98.28666666666666,1.655599594116211,0.33376359939575195,1.655599594116211,0.9608995914459229,0.09621357917785645,0.9608995914459229
74,85.33,80.06,85.33,97.80499999999999,92.30666666666667,97.80499999999999,1.6714553833007812,0.33399081230163574,1.6714553833007812,0.9817383289337158,0.0983896255493164,0.9817383289337158
75,86.09,80.33,86.09,98.35166666666667,92.49000000000001,98.35166666666667,1.6658954620361328,0.33820009231567383,1.6658954620361328,0.9722468852996826,0.0971689224243164,0.9722468852996826
76,84.78999999999999,79.99000000000001,84.78999999999999,97.60333333333332,92.53,97.60333333333332,1.6579468250274658,0.3423802852630615,1.6579468250274658,0.9676339626312256,0.09412908554077148,0.9676339626312256
77,84.64,80.97,84.64,97.76,92.715,97.76,1.6450910568237305,0.335735559463501,1.6450910568237305,0.9534027576446533,0.09453034400939941,0.9534027576446533
78,85.22999999999999,81.17999999999999,85.22999999999999,97.82166666666666,92.745,97.82166666666666,1.6505515575408936,0.3361012935638428,1.6505515575408936,0.9760401248931885,0.09925532341003418,0.9760401248931885
79,86.22999999999999,79.75999999999999,86.22999999999999,97.91833333333332,92.84166666666667,97.91833333333332,1.658132791519165,0.32956457138061523,1.658132791519165,0.961240291595459,0.09478354454040527,0.961240291595459
80,86.5,79.74,86.5,98.44000000000001,92.39500000000001,98.44000000000001,1.6456797122955322,0.3365631103515625,1.6456797122955322,0.965003490447998,0.09819602966308594,0.965003490447998
81,85.42,80.58,85.42,98.02833333333332,92.60833333333333,98.02833333333332,1.6565864086151123,0.33902406692504883,1.6565864086151123,0.958665132522583,0.09881186485290527,0.958665132522583
82,85.28999999999999,80.65,85.28999999999999,98.06166666666667,92.44666666666667,98.06166666666667,1.6645030975341797,0.3362596035003662,1.6645030975341797,0.9696934223175049,0.10042047500610352,0.9696934223175049
83,85.08,81.6,85.08,97.615,92.99333333333333,97.615,1.6527998447418213,0.33504319190979004,1.6527998447418213,0.9653458595275879,0.09391045570373535,0.9653458595275879
84,86.04,80.86,86.04,98.23666666666668,92.99,98.23666666666668,1.6526908874511719,0.3303041458129883,1.6526908874511719,0.9745020866394043,0.09757471084594727,0.9745020866394043
85,85.86,79.86,85.86,98.2,92.58,98.2,1.6494038105010986,0.3334085941314697,1.6494038105010986,0.9689590930938721,0.09801244735717773,0.9689590930938721
86,85.0,80.81,85.0,97.455,92.99333333333333,97.455,1.6368787288665771,0.33497095108032227,1.6368787288665771,0.9639937877655029,0.0972437858581543,0.9639937877655029
87,84.41,81.38,84.41,97.46833333333333,92.89,97.46833333333333,1.6422388553619385,0.3423166275024414,1.6422388553619385,0.9747536182403564,0.09395956993103027,0.9747536182403564
88,85.61,79.07,85.61,98.53833333333334,92.26166666666667,98.53833333333334,1.6435935497283936,0.33361148834228516,1.6435935497283936,0.9707999229431152,0.09775185585021973,0.9707999229431152
89,85.81,80.63,85.81,98.21166666666666,92.77333333333333,98.21166666666666,1.6347997188568115,0.3317844867706299,1.6347997188568115,0.966181755065918,0.10010242462158203,0.966181755065918
90,85.72999999999999,79.85,85.72999999999999,98.175,92.34,98.175,1.6447937488555908,0.3523745536804199,1.6447937488555908,0.9683837890625,0.09797835350036621,0.9683837890625
91,85.66,80.84,85.66,98.40166666666667,92.96833333333333,98.40166666666667,1.64353609085083,0.3401198387145996,1.64353609085083,0.9654827117919922,0.09720826148986816,0.9654827117919922
