,acc_test_teacher,acc_test_student,acc_test_distilled,acc_train_teacher,acc_train_student,acc_train_distilled,time_train_teacher,time_train_student,time_train_distilled,time_test_teacher,time_test_student,time_test_distilled
0,86.652,86.572,86.652,89.82,89.376,89.82,64.34772205352783,30.587575912475586,64.34772205352783,13.53134536743164,8.002272129058838,13.53134536743164
1,88.06,87.67200000000001,88.06,92.712,91.99199999999999,92.712,54.32318711280823,26.0792236328125,54.32318711280823,14.113426208496094,9.007974624633789,14.113426208496094
2,87.736,88.376,87.736,93.132,93.428,93.132,50.913612842559814,25.013128757476807,50.913612842559814,15.5670747756958,8.922173976898193,15.5670747756958
3,88.77199999999999,88.48,88.77199999999999,95.828,94.476,95.828,47.764341592788696,24.1551730632782,47.764341592788696,14.063749074935913,9.259912014007568,14.063749074935913
4,88.864,88.64800000000001,88.864,96.648,95.532,96.648,45.6446692943573,23.36094641685486,45.6446692943573,14.636767864227295,9.904356002807617,14.636767864227295
5,88.852,88.776,88.852,97.616,96.428,97.616,43.927236557006836,22.701387882232666,43.927236557006836,15.61496639251709,9.2918062210083,15.61496639251709
6,89.044,88.748,89.044,97.88,96.688,97.88,41.91360664367676,22.20451784133911,41.91360664367676,16.547880172729492,9.592045307159424,16.547880172729492
7,88.89200000000001,87.98,88.89200000000001,98.184,96.276,98.184,40.011468172073364,21.72943115234375,40.011468172073364,16.123995065689087,9.56076955795288,16.123995065689087
8,89.072,88.764,89.072,98.9,97.352,98.9,38.90022087097168,21.05706524848938,38.90022087097168,15.799147844314575,9.62313175201416,15.799147844314575
9,88.768,88.90400000000001,88.768,99.0,98.20400000000001,99.0,37.66306686401367,20.431169748306274,37.66306686401367,15.591427564620972,9.702486038208008,15.591427564620972
10,89.076,88.676,89.076,99.42800000000001,98.372,99.42800000000001,36.64351940155029,19.84251832962036,36.64351940155029,16.244285583496094,10.103769779205322,16.244285583496094
11,89.032,88.20400000000001,89.032,99.5,97.7,99.5,35.24650502204895,19.639217138290405,35.24650502204895,17.285394191741943,9.693617582321167,17.285394191741943
12,89.14800000000001,88.668,89.14800000000001,99.64,98.14399999999999,99.64,34.555460929870605,19.34151530265808,34.555460929870605,18.86444592475891,9.722891569137573,18.86444592475891
13,89.144,88.724,89.144,99.8,98.916,99.8,33.954304933547974,18.771727323532104,33.954304933547974,16.703824281692505,10.135113716125488,16.703824281692505
14,89.132,88.424,89.132,99.85199999999999,98.29599999999999,99.85199999999999,32.70785975456238,18.907951831817627,32.70785975456238,16.51820945739746,9.77483582496643,16.51820945739746
15,88.988,88.348,88.988,99.684,98.664,99.684,32.443042039871216,18.576757431030273,32.443042039871216,16.71539831161499,9.977056503295898,16.71539831161499
16,89.19200000000001,88.536,89.19200000000001,99.88,98.748,99.88,31.61893606185913,18.704371690750122,31.61893606185913,16.84365177154541,10.70073938369751,16.84365177154541
17,88.94,88.812,88.94,99.90400000000001,99.036,99.90400000000001,31.24773406982422,18.60262656211853,31.24773406982422,17.472484350204468,9.918759107589722,17.472484350204468
18,89.076,88.38000000000001,89.076,99.952,98.776,99.952,30.998006582260132,18.414124965667725,30.998006582260132,18.011095762252808,9.82052206993103,18.011095762252808
19,89.12,88.736,89.12,99.94800000000001,99.24,99.94800000000001,30.31509828567505,18.2293598651886,30.31509828567505,17.38175320625305,10.247663021087646,17.38175320625305
20,88.976,88.64800000000001,88.976,99.932,99.19200000000001,99.932,29.836482524871826,17.932692766189575,29.836482524871826,18.40641188621521,9.89569640159607,18.40641188621521
21,89.056,88.7,89.056,99.97200000000001,99.22800000000001,99.97200000000001,29.392396926879883,17.766380310058594,29.392396926879883,18.49869441986084,9.959868431091309,18.49869441986084
22,88.98,88.1,88.98,99.98,97.98400000000001,99.98,29.31638789176941,18.13535189628601,29.31638789176941,18.37482786178589,10.022608280181885,18.37482786178589
23,89.004,88.22,89.004,99.984,98.94,99.984,28.888671159744263,18.028729915618896,28.888671159744263,17.725470066070557,10.02238941192627,17.725470066070557
24,89.068,88.936,89.068,99.98,99.32,99.98,28.587159872055054,17.763999462127686,28.587159872055054,17.701194763183594,9.921415090560913,17.701194763183594
25,88.96,88.844,88.96,99.988,99.324,99.988,28.66180968284607,17.719379425048828,28.66180968284607,17.537628650665283,10.028914451599121,17.537628650665283
26,88.852,88.744,88.852,99.984,99.132,99.984,28.11963391304016,17.56836724281311,28.11963391304016,17.26144027709961,10.59185004234314,17.26144027709961
27,88.932,87.92,88.932,99.98,98.764,99.98,28.165675401687622,17.561797380447388,28.165675401687622,17.47720456123352,10.720520496368408,17.47720456123352
28,88.976,88.13600000000001,88.976,99.996,99.016,99.996,27.81683897972107,17.19430160522461,27.81683897972107,18.07649827003479,10.08258318901062,18.07649827003479
29,89.11200000000001,88.32,89.11200000000001,99.988,99.276,99.988,27.465718269348145,17.382486820220947,27.465718269348145,17.682067394256592,10.030356884002686,17.682067394256592
30,88.924,88.956,86.356,99.996,99.556,92.656,27.665865182876587,17.353374004364014,17.964744567871094,18.63230538368225,10.16861343383789,8.405601739883423
31,88.812,88.75999999999999,87.984,99.996,99.564,96.2,27.31323766708374,17.084275722503662,13.786172151565552,17.68448233604431,10.032023906707764,8.742470979690552
32,88.928,87.268,88.196,99.996,98.604,96.96000000000001,27.200830698013306,16.85952115058899,12.545759201049805,18.328569412231445,10.005961418151855,8.729225397109985
33,88.932,88.56,88.432,99.996,99.22800000000001,97.42,27.206313848495483,16.76763606071472,11.947725772857666,18.251496076583862,10.138237237930298,8.769567966461182
34,88.836,86.612,88.396,99.996,98.236,97.82,27.082027196884155,16.613577365875244,11.411749601364136,18.91290807723999,10.471276760101318,8.802817106246948
35,88.976,85.748,88.6,100.0,96.844,98.16,26.98429012298584,16.6834397315979,11.229811668395996,18.77417492866516,10.745687484741211,8.868309497833252
36,89.008,88.196,88.472,99.996,99.176,98.212,26.78652286529541,16.56360149383545,10.94923710823059,18.726343631744385,10.340667724609375,8.909974098205566
37,88.94,88.196,87.964,99.996,99.24,98.032,26.77778172492981,17.396840572357178,10.837427139282227,18.404221773147583,10.244390964508057,8.826377868652344
38,88.928,88.716,88.44,99.984,99.456,98.784,26.894248008728027,16.452080249786377,10.724613904953003,18.263461351394653,10.394093990325928,8.827279567718506
39,88.92,87.568,88.324,99.988,98.764,98.872,26.41777801513672,16.513298749923706,10.623892307281494,18.259424448013306,10.033787965774536,8.775118589401245
40,88.94,88.936,88.712,100.0,99.592,98.88,26.323098182678223,16.48224377632141,10.401981115341187,18.173569917678833,10.094651699066162,8.945480585098267
41,88.968,88.78,88.656,99.992,99.572,98.996,26.391538858413696,16.31131887435913,10.38202166557312,18.37933659553528,9.885204076766968,9.153452157974243
42,88.82,88.916,88.768,99.996,99.564,99.024,26.261963844299316,16.471665620803833,10.361796140670776,18.413199424743652,10.149897813796997,9.038870334625244
43,89.008,88.66000000000001,88.828,100.0,99.62,99.028,26.18851613998413,16.415437698364258,10.173137903213501,18.187039852142334,10.912240982055664,9.52829647064209
44,88.932,88.42,88.768,99.996,99.476,99.116,25.81511116027832,16.31514859199524,10.054030895233154,18.648168325424194,10.261825799942017,9.152205228805542
45,88.936,88.384,88.356,99.992,99.44800000000001,99.004,26.32909321784973,16.137592315673828,10.1360445022583,18.36326241493225,10.154371976852417,9.729476928710938
46,88.944,88.72,88.452,99.996,99.644,99.016,25.923316717147827,15.811147928237915,10.128107070922852,18.329731464385986,10.43506669998169,9.191037893295288
