,acc_test_teacher,acc_test_student,acc_test_distilled,acc_test_distilled_ds,acc_train_teacher,acc_train_student,acc_train_distilled,acc_train_distilled_ds,time_train_teacher,time_train_student,time_train_distilled,time_train_distilled_ds,time_test_teacher,time_test_student,time_test_distilled,time_test_distilled_ds
0,70.74000000000001,66.05,70.74000000000001,,83.95,80.98666666666666,83.95,,0.8872694969177246,0.40453481674194336,0.8872694969177246,,0.1800975799560547,0.06561851501464844,0.1800975799560547,
1,70.24000000000001,71.34,70.24000000000001,,84.81833333333333,83.99666666666667,84.81833333333333,,0.7153196334838867,0.35709500312805176,0.7153196334838867,,0.17642998695373535,0.06308817863464355,0.17642998695373535,
2,74.92999999999999,72.65,74.92999999999999,,88.73666666666666,86.02,88.73666666666666,,0.6695840358734131,0.3432948589324951,0.6695840358734131,,0.17328739166259766,0.058344364166259766,0.17328739166259766,
3,77.42,73.44000000000001,77.42,,89.19333333333334,86.725,89.19333333333334,,0.6370649337768555,0.33159732818603516,0.6370649337768555,,0.17470455169677734,0.05872607231140137,0.17470455169677734,
4,78.58000000000001,72.63,78.58000000000001,,90.29833333333333,86.46166666666667,90.29833333333333,,0.6283202171325684,0.32820677757263184,0.6283202171325684,,0.17966628074645996,0.08816766738891602,0.17966628074645996,
5,80.47999999999999,73.3,80.47999999999999,,91.25333333333333,86.87333333333333,91.25333333333333,,0.6077723503112793,0.32115697860717773,0.6077723503112793,,0.18233776092529297,0.05855536460876465,0.18233776092529297,
6,79.97999999999999,73.89,79.97999999999999,,91.845,87.74333333333333,91.845,,0.5955467224121094,0.3189671039581299,0.5955467224121094,,0.18467116355895996,0.059119224548339844,0.18467116355895996,
7,79.57,75.03,79.57,,92.10166666666667,88.12333333333333,92.10166666666667,,0.5752756595611572,0.3148951530456543,0.5752756595611572,,0.17397475242614746,0.0594484806060791,0.17397475242614746,
8,79.22,75.69,79.22,,91.71000000000001,88.27000000000001,91.71000000000001,,0.5797386169433594,0.31497907638549805,0.5797386169433594,,0.18315577507019043,0.06604170799255371,0.18315577507019043,
9,80.62,75.26,80.62,,92.5,88.16166666666668,92.5,,0.5598962306976318,0.3235747814178467,0.5598962306976318,,0.17226719856262207,0.06513595581054688,0.17226719856262207,
10,79.96,77.07000000000001,79.96,,92.92333333333333,88.87166666666667,92.92333333333333,,0.5465302467346191,0.31733012199401855,0.5465302467346191,,0.1747899055480957,0.06303954124450684,0.1747899055480957,
11,80.10000000000001,76.14,80.10000000000001,,92.43333333333334,88.87833333333333,92.43333333333334,,0.5487020015716553,0.3123037815093994,0.5487020015716553,,0.17586231231689453,0.06701779365539551,0.17586231231689453,
12,80.28999999999999,76.5,80.28999999999999,,92.38833333333332,88.70333333333333,92.38833333333332,,0.5349140167236328,0.30820131301879883,0.5349140167236328,,0.18066620826721191,0.07925748825073242,0.18066620826721191,
13,81.65,75.51,81.65,,93.445,88.98166666666667,93.445,,0.5329074859619141,0.31413960456848145,0.5329074859619141,,0.1760244369506836,0.05912017822265625,0.1760244369506836,
14,80.85,77.49000000000001,80.85,,93.65833333333333,89.46,93.65833333333333,,0.5261096954345703,0.30994248390197754,0.5261096954345703,,0.18426203727722168,0.06743621826171875,0.18426203727722168,
15,81.78999999999999,77.23,81.78999999999999,,93.50166666666667,89.09,93.50166666666667,,0.513728141784668,0.3085803985595703,0.513728141784668,,0.179060697555542,0.0637357234954834,0.179060697555542,
16,82.39999999999999,76.35,82.39999999999999,,93.96166666666666,89.63666666666667,93.96166666666666,,0.5182275772094727,0.3064565658569336,0.5182275772094727,,0.19072222709655762,0.06494784355163574,0.19072222709655762,
17,81.23,77.46,81.23,,93.51166666666667,89.725,93.51166666666667,,0.5005302429199219,0.3038911819458008,0.5005302429199219,,0.17660880088806152,0.0797874927520752,0.17660880088806152,
18,81.28,77.71000000000001,81.28,,93.31666666666666,90.21833333333333,93.31666666666666,,0.5013618469238281,0.3034486770629883,0.5013618469238281,,0.18675804138183594,0.05862617492675781,0.18675804138183594,
19,82.78999999999999,75.67,82.78999999999999,,94.425,88.84666666666666,94.425,,0.49820542335510254,0.3036940097808838,0.49820542335510254,,0.1742537021636963,0.061697959899902344,0.1742537021636963,
20,82.93,77.61,82.93,,94.50333333333333,90.20833333333333,94.50333333333333,,0.500969409942627,0.30414605140686035,0.500969409942627,,0.17644453048706055,0.06503486633300781,0.17644453048706055,
21,82.35,75.44,82.35,,94.29833333333333,88.69,94.29833333333333,,0.4946627616882324,0.3060424327850342,0.4946627616882324,,0.17767953872680664,0.0772855281829834,0.17767953872680664,
22,82.22,78.29,82.22,,94.43333333333334,89.805,94.43333333333334,,0.48663902282714844,0.3016049861907959,0.48663902282714844,,0.1789417266845703,0.06437325477600098,0.1789417266845703,
23,82.36,77.81,82.36,,94.41333333333334,89.99833333333333,94.41333333333334,,0.48972058296203613,0.30519652366638184,0.48972058296203613,,0.17878317832946777,0.06457948684692383,0.17878317832946777,
24,81.11,78.75,81.11,,93.95666666666666,90.23666666666666,93.95666666666666,,0.48473620414733887,0.295975923538208,0.48473620414733887,,0.18342900276184082,0.05901622772216797,0.18342900276184082,
25,81.74,77.85,81.74,,94.22666666666667,90.065,94.22666666666667,,0.48479199409484863,0.2967054843902588,0.48479199409484863,,0.1876382827758789,0.058686017990112305,0.1876382827758789,
26,82.53,77.25999999999999,82.53,,94.92833333333334,89.87333333333333,94.92833333333334,,0.48433351516723633,0.30011796951293945,0.48433351516723633,,0.18111681938171387,0.0653524398803711,0.18111681938171387,
27,82.8,77.49000000000001,82.8,,94.76333333333334,90.17500000000001,94.76333333333334,,0.49024415016174316,0.32651638984680176,0.49024415016174316,,0.19253993034362793,0.05924057960510254,0.19253993034362793,
28,83.04,78.39,83.04,,95.24666666666667,90.61666666666667,95.24666666666667,,0.48511338233947754,0.3146200180053711,0.48511338233947754,,0.18822336196899414,0.06603455543518066,0.18822336196899414,
29,83.00999999999999,77.46,83.00999999999999,,94.95166666666667,90.15833333333333,94.95166666666667,,0.4934978485107422,0.29361820220947266,0.4934978485107422,,0.18861627578735352,0.05873727798461914,0.18861627578735352,
30,82.28,78.13,82.28,,94.74000000000001,90.51666666666667,94.74000000000001,,0.4708695411682129,0.29410433769226074,0.4708695411682129,,0.1824662685394287,0.05905556678771973,0.1824662685394287,
31,83.66,77.12,83.66,,95.285,90.04833333333333,95.285,,0.48076772689819336,0.29656124114990234,0.48076772689819336,,0.18261170387268066,0.06428098678588867,0.18261170387268066,
32,83.21,76.37,83.21,,95.33,90.39666666666668,95.33,,0.4659152030944824,0.2956807613372803,0.4659152030944824,,0.17801356315612793,0.05978274345397949,0.17801356315612793,
33,82.93,77.38000000000001,82.93,,95.325,90.22333333333333,95.325,,0.4882371425628662,0.3040468692779541,0.4882371425628662,,0.18190479278564453,0.07613682746887207,0.18190479278564453,
34,84.02,78.72,84.02,,95.19833333333332,90.72333333333333,95.19833333333332,,0.46769261360168457,0.2968711853027344,0.46769261360168457,,0.18480253219604492,0.05950617790222168,0.18480253219604492,
35,81.56,77.68,81.56,,94.60833333333333,90.36666666666666,94.60833333333333,,0.46865367889404297,0.31973886489868164,0.46865367889404297,,0.17708873748779297,0.05890965461730957,0.17708873748779297,
36,83.33,78.16,83.33,,95.24333333333334,90.44833333333332,95.24333333333334,,0.46037912368774414,0.2983865737915039,0.46037912368774414,,0.1797034740447998,0.06435656547546387,0.1797034740447998,
37,83.03,77.94,83.03,,95.42500000000001,90.365,95.42500000000001,,0.4681229591369629,0.3180677890777588,0.4681229591369629,,0.18529653549194336,0.06651830673217773,0.18529653549194336,
38,82.58,78.11,82.58,,95.25,89.945,95.25,,0.47300124168395996,0.30298757553100586,0.47300124168395996,,0.18200469017028809,0.06479191780090332,0.18200469017028809,
39,83.28,77.66999999999999,83.28,,94.86,89.98166666666667,94.86,,0.4735255241394043,0.2964043617248535,0.4735255241394043,,0.1832892894744873,0.059180259704589844,0.1832892894744873,
40,82.8,77.58,82.8,,95.45333333333333,90.495,95.45333333333333,,0.4707663059234619,0.3065345287322998,0.4707663059234619,,0.17909741401672363,0.05924725532531738,0.17909741401672363,
41,83.56,77.92999999999999,83.56,,95.71666666666667,89.88666666666667,95.71666666666667,,0.46245646476745605,0.29479122161865234,0.46245646476745605,,0.18614649772644043,0.059270620346069336,0.18614649772644043,
42,83.96000000000001,77.94,83.96000000000001,,95.72,90.55,95.72,,0.45583057403564453,0.29686522483825684,0.45583057403564453,,0.18859195709228516,0.05920267105102539,0.18859195709228516,
43,82.57,77.64,82.57,,95.16333333333333,90.51,95.16333333333333,,0.46273016929626465,0.30240797996520996,0.46273016929626465,,0.18998122215270996,0.06523990631103516,0.18998122215270996,
44,84.08,78.35,84.08,,95.94333333333334,90.66833333333332,95.94333333333334,,0.4650728702545166,0.30158400535583496,0.4650728702545166,,0.19295978546142578,0.05926060676574707,0.19295978546142578,
45,83.49,79.06,83.49,,95.56166666666667,90.96833333333333,95.56166666666667,,0.45122218132019043,0.29810380935668945,0.45122218132019043,,0.18445658683776855,0.059234619140625,0.18445658683776855,
46,83.62,78.18,83.62,,95.785,90.66833333333332,95.785,,0.4614243507385254,0.29395174980163574,0.4614243507385254,,0.17740678787231445,0.06655764579772949,0.17740678787231445,
47,83.39,78.82000000000001,83.39,,95.84,90.64,95.84,,0.4526255130767822,0.30171895027160645,0.4526255130767822,,0.17784810066223145,0.07299947738647461,0.17784810066223145,
48,84.23,77.69,84.23,,95.66,90.44166666666666,95.66,,0.4579427242279053,0.2920725345611572,0.4579427242279053,,0.17990803718566895,0.06427860260009766,0.17990803718566895,
49,82.89999999999999,79.14999999999999,82.89999999999999,,95.50999999999999,90.83333333333333,95.50999999999999,,0.4553189277648926,0.2931711673736572,0.4553189277648926,,0.18555784225463867,0.06484031677246094,0.18555784225463867,
50,84.2,77.7,84.2,,96.05,90.26333333333334,96.05,,0.4633784294128418,0.2936670780181885,0.4633784294128418,,0.18648338317871094,0.06607985496520996,0.18648338317871094,
51,84.11999999999999,78.02,84.11999999999999,,96.04333333333334,90.58,96.04333333333334,,0.4557614326477051,0.2938706874847412,0.4557614326477051,,0.1789073944091797,0.05892491340637207,0.1789073944091797,
52,83.94,78.33,83.94,,95.62666666666667,90.93166666666667,95.62666666666667,,0.4553711414337158,0.29665279388427734,0.4553711414337158,,0.18630552291870117,0.05892825126647949,0.18630552291870117,
53,84.00999999999999,78.95,84.00999999999999,,95.94666666666667,91.14666666666666,95.94666666666667,,0.4521982669830322,0.29480838775634766,0.4521982669830322,,0.17893362045288086,0.058744192123413086,0.17893362045288086,
54,84.24000000000001,77.68,84.24000000000001,,96.33833333333334,90.82000000000001,96.33833333333334,,0.4471733570098877,0.2913389205932617,0.4471733570098877,,0.17651009559631348,0.05892515182495117,0.17651009559631348,
55,83.67999999999999,77.82,83.67999999999999,,95.76833333333333,90.72833333333334,95.76833333333333,,0.4419369697570801,0.29755091667175293,0.4419369697570801,,0.17973780632019043,0.05897068977355957,0.17973780632019043,
56,83.14,76.74,83.14,,95.92666666666668,90.19166666666666,95.92666666666668,,0.44907402992248535,0.2933685779571533,0.44907402992248535,,0.17775821685791016,0.05868220329284668,0.17775821685791016,
57,83.77,77.48,83.77,,96.00999999999999,90.265,96.00999999999999,,0.4471585750579834,0.2926814556121826,0.4471585750579834,,0.17727160453796387,0.06482052803039551,0.17727160453796387,
58,83.23,78.19,83.23,,95.83666666666667,91.32000000000001,95.83666666666667,,0.4435601234436035,0.2970447540283203,0.4435601234436035,,0.18075275421142578,0.0627129077911377,0.18075275421142578,
59,83.77,76.91,83.77,,96.065,90.205,96.065,,0.4501047134399414,0.2941713333129883,0.4501047134399414,,0.17907309532165527,0.07509040832519531,0.17907309532165527,
60,85.22999999999999,78.45,85.22999999999999,,96.39666666666666,90.84166666666667,96.39666666666666,,0.442152738571167,0.29889607429504395,0.442152738571167,,0.17957830429077148,0.06519794464111328,0.17957830429077148,
61,83.8,78.31,83.8,,95.97,90.66499999999999,95.97,,0.4502279758453369,0.2953057289123535,0.4502279758453369,,0.17920255661010742,0.05998420715332031,0.17920255661010742,
62,84.63000000000001,78.95,84.63000000000001,,96.28166666666667,91.255,96.28166666666667,,0.44022130966186523,0.30216455459594727,0.44022130966186523,,0.18006634712219238,0.05939507484436035,0.18006634712219238,
63,84.09,79.14999999999999,84.09,,96.28666666666666,91.65333333333334,96.28666666666666,,0.4380037784576416,0.2961745262145996,0.4380037784576416,,0.18930602073669434,0.06623649597167969,0.18930602073669434,
64,84.48,79.10000000000001,84.48,,96.21666666666667,91.32666666666667,96.21666666666667,,0.4448432922363281,0.28992724418640137,0.4448432922363281,,0.17788004875183105,0.05864906311035156,0.17788004875183105,
65,84.63000000000001,77.36,84.63000000000001,,96.12833333333334,90.31666666666666,96.12833333333334,,0.444896936416626,0.2966878414154053,0.444896936416626,,0.1867964267730713,0.05867314338684082,0.1867964267730713,
66,84.92,77.82,84.92,,96.28,90.58333333333334,96.28,,0.44930028915405273,0.297304630279541,0.44930028915405273,,0.17828655242919922,0.05856060981750488,0.17828655242919922,
67,84.49,78.91,84.49,,96.08833333333334,90.92833333333333,96.08833333333334,,0.45615482330322266,0.2935163974761963,0.45615482330322266,,0.18591880798339844,0.059284210205078125,0.18591880798339844,
