,acc_test_teacher,acc_test_student,acc_test_distilled,acc_train_teacher,acc_train_student,acc_train_distilled,time_train_teacher,time_train_student,time_train_distilled,time_test_teacher,time_test_student,time_test_distilled
0,86.148,86.412,86.148,88.688,88.656,88.688,63.47968244552612,29.78694248199463,63.47968244552612,12.02474045753479,7.858670473098755,12.02474045753479
1,87.9,87.844,87.9,92.42399999999999,92.096,92.42399999999999,52.75273275375366,26.258899211883545,52.75273275375366,12.63170838356018,8.248465776443481,12.63170838356018
2,88.264,88.248,88.264,93.916,93.66,93.916,48.897371768951416,24.73966336250305,48.897371768951416,12.938384532928467,8.66824197769165,12.938384532928467
3,88.42,87.8,88.42,94.796,92.984,94.796,46.15184950828552,23.913923263549805,46.15184950828552,14.473081111907959,8.89354419708252,14.473081111907959
4,88.496,88.768,88.496,95.608,95.57600000000001,95.608,44.577136516571045,23.215497255325317,44.577136516571045,12.993962526321411,9.051310539245605,12.993962526321411
5,87.748,88.348,87.748,94.99600000000001,95.596,94.99600000000001,42.41794180870056,22.937599182128906,42.41794180870056,13.224863529205322,9.102540016174316,13.224863529205322
6,89.1,87.488,89.1,97.468,94.42,97.468,41.212716817855835,22.05361580848694,41.212716817855835,13.32638692855835,9.144490003585815,13.32638692855835
7,86.30799999999999,88.184,86.30799999999999,93.42399999999999,96.112,93.42399999999999,39.732526540756226,21.502812385559082,39.732526540756226,13.788568019866943,9.285277128219604,13.788568019866943
8,88.504,88.564,88.504,97.776,97.344,97.776,38.57478213310242,20.739147186279297,38.57478213310242,14.41588807106018,9.29662275314331,14.41588807106018
9,88.876,88.872,88.876,98.688,98.284,98.688,37.46431922912598,20.18275499343872,37.46431922912598,15.322368621826172,9.332452297210693,15.322368621826172
10,88.896,88.956,88.896,99.152,98.04,99.152,36.05010724067688,20.07711100578308,36.05010724067688,15.305251836776733,9.376433610916138,15.305251836776733
11,88.908,89.044,88.908,99.124,98.128,99.124,35.131784200668335,19.63503861427307,35.131784200668335,14.565490007400513,9.40233302116394,14.565490007400513
12,89.064,87.17200000000001,89.064,99.536,95.66799999999999,99.536,33.629573345184326,18.994717121124268,33.629573345184326,15.853838443756104,9.4364173412323,15.853838443756104
13,88.88000000000001,88.172,88.88000000000001,99.624,97.624,99.624,33.56369090080261,18.97419309616089,33.56369090080261,14.82442593574524,9.563899517059326,14.82442593574524
14,88.776,88.8,88.776,99.664,98.872,99.664,32.492101430892944,18.738731384277344,32.492101430892944,15.701974153518677,9.50239634513855,15.701974153518677
