,acc_test_teacher,acc_test_baseline,acc_test_student,acc_train_teacher,acc_train_baseline,acc_train_student,time_train_teacher,time_train_baseline,time_train_student,time_test_teacher,time_test_baseline,time_test_student
0,86.592,86.588,86.592,89.536,89.188,89.536,63.07739782333374,30.229777336120605,63.07739782333374,15.145562171936035,7.681191921234131,15.145562171936035
1,86.884,88.164,86.884,90.66,92.176,90.66,52.815194845199585,26.453766107559204,52.815194845199585,16.273818969726562,8.421021699905396,16.273818969726562
2,86.512,88.30799999999999,86.512,90.712,93.556,90.712,49.64436960220337,25.174591302871704,49.64436960220337,16.313350200653076,9.183732748031616,16.313350200653076
3,88.592,88.144,88.592,95.164,93.852,95.164,47.46131658554077,24.183929204940796,47.46131658554077,13.25371265411377,8.91336727142334,13.25371265411377
4,86.5,88.728,86.5,92.328,95.39999999999999,92.328,44.78415822982788,23.336647033691406,44.78415822982788,13.281315326690674,9.097054719924927,13.281315326690674
5,89.03999999999999,88.268,89.03999999999999,97.08,95.872,97.08,43.11841535568237,22.77420425415039,43.11841535568237,13.629760265350342,9.229804039001465,13.629760265350342
6,88.68,88.176,88.68,97.068,96.404,97.068,41.865835666656494,22.10406231880188,41.865835666656494,13.966691017150879,9.373249292373657,13.966691017150879
7,88.968,86.79599999999999,88.968,98.324,93.896,98.324,39.69274616241455,21.84566569328308,39.69274616241455,14.294291973114014,9.282068014144897,14.294291973114014
8,88.856,88.844,88.856,98.5,97.384,98.5,38.046616554260254,21.36488914489746,38.046616554260254,14.657560110092163,9.440922975540161,14.657560110092163
9,89.116,87.592,89.116,99.1,95.38799999999999,99.1,36.85695672035217,20.746337890625,36.85695672035217,14.343730688095093,9.557245016098022,14.343730688095093
10,88.416,86.04,88.416,98.592,93.608,98.592,35.97244358062744,20.797571182250977,35.97244358062744,15.388142585754395,9.69509220123291,15.388142585754395
11,88.39200000000001,88.628,88.39200000000001,99.0,97.18,99.0,34.818023443222046,20.16803550720215,34.818023443222046,15.046097040176392,9.819453477859497,15.046097040176392
12,88.012,87.788,88.012,98.536,97.172,98.536,33.950615644454956,19.875386476516724,33.950615644454956,14.85031270980835,9.530006647109985,14.85031270980835
13,88.824,88.972,88.824,99.384,98.236,99.384,33.02309441566467,19.71369433403015,33.02309441566467,15.02070689201355,9.689569473266602,15.02070689201355
14,89.14,88.744,89.14,99.744,98.22,99.744,32.651466608047485,19.263242721557617,32.651466608047485,14.707266330718994,9.802235841751099,14.707266330718994
15,88.964,88.86,88.964,99.848,98.63199999999999,99.848,31.787476301193237,18.93746781349182,31.787476301193237,15.054189443588257,9.731303453445435,15.054189443588257
16,88.96,88.568,88.96,99.812,98.304,99.812,31.307640552520752,18.971733570098877,31.307640552520752,15.748943328857422,9.83935022354126,15.748943328857422
17,89.008,88.912,89.008,99.892,98.804,99.892,30.297001361846924,18.73513913154602,30.297001361846924,15.68479871749878,9.95453667640686,15.68479871749878
