,acc_test_teacher,acc_test_baseline,acc_test_student,acc_train_teacher,acc_train_baseline,acc_train_student,time_train_teacher,time_train_baseline,time_train_student,time_test_teacher,time_test_baseline,time_test_student
0,72.69,70.02000000000001,72.69,85.135,83.49666666666667,85.135,2.7950446605682373,0.5034935474395752,2.7950446605682373,0.9461889266967773,0.10325121879577637,0.9461889266967773
1,72.6,73.17,72.6,85.84,86.08666666666667,85.84,2.3699100017547607,0.4227743148803711,2.3699100017547607,0.9400796890258789,0.10370063781738281,0.9400796890258789
2,77.11,74.17,77.11,89.14,87.05833333333334,89.14,2.2421083450317383,0.41347336769104004,2.2421083450317383,0.9508535861968994,0.09686279296875,0.9508535861968994
3,75.62,74.56,75.62,88.74833333333333,87.44166666666666,88.74833333333333,2.15702223777771,0.3943204879760742,2.15702223777771,0.9369919300079346,0.09975075721740723,0.9369919300079346
4,78.13,74.21,78.13,90.71000000000001,88.04833333333333,90.71000000000001,2.098773717880249,0.39712095260620117,2.098773717880249,0.9330170154571533,0.09959173202514648,0.9330170154571533
5,79.57,75.17,79.57,91.77333333333333,88.64333333333333,91.77333333333333,2.0526769161224365,0.3880767822265625,2.0526769161224365,0.9450881481170654,0.1033329963684082,0.9450881481170654
6,81.19,76.42999999999999,81.19,93.54833333333333,89.28166666666667,93.54833333333333,2.0241243839263916,0.37790608406066895,2.0241243839263916,0.9329192638397217,0.10321545600891113,0.9329192638397217
7,80.67999999999999,75.92,80.67999999999999,92.83166666666666,89.21166666666667,92.83166666666666,1.9899520874023438,0.3748469352722168,1.9899520874023438,0.9393043518066406,0.09935903549194336,0.9393043518066406
8,82.46,76.63,82.46,93.58999999999999,89.71166666666667,93.58999999999999,1.9756348133087158,0.37646913528442383,1.9756348133087158,0.9439516067504883,0.1022651195526123,0.9439516067504883
9,83.50999999999999,76.75,83.50999999999999,94.83666666666667,89.54833333333333,94.83666666666667,1.952179193496704,0.37080931663513184,1.952179193496704,0.941399335861206,0.0992119312286377,0.941399335861206
10,82.69999999999999,78.45,82.69999999999999,94.35833333333333,90.39500000000001,94.35833333333333,1.9139060974121094,0.3692295551300049,1.9139060974121094,0.9466361999511719,0.09871172904968262,0.9466361999511719
11,78.49000000000001,77.05,78.49000000000001,92.40666666666667,89.73666666666666,92.40666666666667,1.9124348163604736,0.3675851821899414,1.9124348163604736,0.9429450035095215,0.09596109390258789,0.9429450035095215
12,80.63,78.77,80.63,94.18666666666667,90.61833333333334,94.18666666666667,1.8946154117584229,0.36656832695007324,1.8946154117584229,0.9428105354309082,0.09947872161865234,0.9428105354309082
13,81.84,79.03999999999999,81.84,94.055,90.41166666666666,94.055,1.8828465938568115,0.3631753921508789,1.8828465938568115,0.942302942276001,0.0992131233215332,0.942302942276001
14,83.57,77.69,83.57,95.14333333333333,90.54166666666667,95.14333333333333,1.8620243072509766,0.3588132858276367,1.8620243072509766,0.9398353099822998,0.09606814384460449,0.9398353099822998
15,83.31,78.51,83.31,95.455,91.08666666666667,95.455,1.8356165885925293,0.3609635829925537,1.8356165885925293,0.9479470252990723,0.0968167781829834,0.9479470252990723
16,82.42,78.18,82.42,95.01666666666667,90.77,95.01666666666667,1.85109543800354,0.35194897651672363,1.85109543800354,0.9435956478118896,0.09501242637634277,0.9435956478118896
